tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P2_EXTERNAL_MATCH_FRIENDLY,Shadowland.md,WL-WORK-0518,Shadowland,,彼得·斯特劳布,Peter Straub,,,CANDIDATE_BOUNDARY,1980,T6,HIGH,Shadowland,Peter Straub,/works/OL114303W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Sinophagia／ A Celebration of Chinese Horror.md,WL-WORK-0519,Sinophagia: A Celebration of Chinese Horror,,倪雪婷,Xueting C. Ni,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Smoky the Cowhorse.md,WL-WORK-2344,Smoky the Cowhorse,,威尔·詹姆斯,Will James,,,CANDIDATE,1926,T4,LOW,Smoky The Cowhorse,"James, Will,",/works/OL37791269W,1.000,0.556,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Sozaboy.md,WL-WORK-1983,Sozaboy,,肯·萨罗-维瓦,Saro-Wiwa,,,CANDIDATE,1985,T6,MEDIUM,Sozaboy,Ken Saro-Wiwa,/works/OL2369168W,1.000,0.842,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Teatro Grottesco.md,WL-WORK-0522,Teatro Grottesco,,托马斯·利戈蒂,Ligotti,,,CANDIDATE,2007,T6,LOW,Teatro Grottesco,Thomas Ligotti,/works/OL3273772W,1.000,0.700,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Tell Me I'm Worthless.md,WL-WORK-0523,Tell Me I'm Worthless,,艾莉森·拉姆菲特,Alison Rumfitt,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Thaddeus of Warsaw.md,WL-WORK-0945,Thaddeus of Warsaw,,简·波特,Jane Porter,,,CANDIDATE_BOUNDARY,1800,T3,HIGH,Thaddeus of Warsaw,Jane Porter,/works/OL4078169W,1.000,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,The Adventures of Col. Daniel Boone.md,WL-WORK-2355,The Adventures of Col. Daniel Boone,,约翰·菲尔森,John Filson,,,CANDIDATE,1934,T4,LOW,Kentucke and the adventures of Col. Daniel Boone,John Filson,/works/OL5542939W,0.841,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,The Assassination of Jesse James.md,WL-WORK-2361,The Assassination of Jesse James...,,罗恩·汉森,Ron Hansen,,,CANDIDATE,1983,T6,LOW,The Assassination of Jesse James by the Coward Robert Ford,Ron Hansen,/works/OL64715W,0.727,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,The Brave Cowboy.md,WL-WORK-2367,The Brave Cowboy,,爱德华·艾比,Abbey,,,CANDIDATE,1956,T5,LOW,The Brave Cowboy,Edward Abbey,/works/OL2929627W,1.000,0.625,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,The Buccaneers of America.md,WL-WORK-2368,The Buccaneers of America,,亚历山大·埃斯克梅林,Alexandre Exquemelin,,,CANDIDATE,2017,T6,LOW,The History of the Buccaneers of America,Alexandre Olivier Exquemelin;Basil Ringrose;Ravenau De Lussan,/works/OL24186204W,0.786,0.844,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,The City Inside.md,WL-WORK-0948,The City Inside,,萨米特·巴苏,Samit Basu,,,NO_MATCH,,,,,,,,,no result with first_publish_year
